Star_ID,time__sum_values,time__median,time__mean,time__length,time__standard_deviation,time__variance,time__root_mean_square,time__maximum,time__absolute_maximum,time__minimum,flux__sum_values,flux__median,flux__mean,flux__length,flux__standard_deviation,flux__variance,flux__root_mean_square,flux__maximum,flux__absolute_maximum,flux__minimum,flux_err__sum_values,flux_err__median,flux_err__mean,flux_err__length,flux_err__standard_deviation,flux_err__variance,flux_err__root_mean_square,flux_err__maximum,flux_err__absolute_maximum,flux_err__minimum,centroid_col__sum_values,centroid_col__median,centroid_col__mean,centroid_col__length,centroid_col__standard_deviation,centroid_col__variance,centroid_col__root_mean_square,centroid_col__maximum,centroid_col__absolute_maximum,centroid_col__minimum,centroid_row__sum_values,centroid_row__median,centroid_row__mean,centroid_row__length,centroid_row__standard_deviation,centroid_row__variance,centroid_row__root_mean_square,centroid_row__maximum,centroid_row__absolute_maximum,centroid_row__minimum,cadenceno__sum_values,cadenceno__median,cadenceno__mean,cadenceno__length,cadenceno__standard_deviation,cadenceno__variance,cadenceno__root_mean_square,cadenceno__maximum,cadenceno__absolute_maximum,cadenceno__minimum,quality__sum_values,quality__mean,quality__length,quality__standard_deviation,quality__variance,quality__root_mean_square,quality__maximum,quality__absolute_maximum,Exoplanet_Actual
TIC 108939482,52883322.52898660,2975.573659752500,2975.486554266960,17773.0,7.3905829997559800,54.6207170762821,2975.4957327041300,2988.228997629880,2988.228997629880,2962.8028647240900,19359618.712524400,1089.3099365234400,1089.2712942398300,17773.0,36.31059432284220,1318.4592600780200,1089.8763286332000,3068.604248046880,3068.604248046880,1039.8828125,92881.8302397728,4.801548004150390,5.226007440486850,17773.0,1.3061589705400900,1.7060512563223600,5.386762016679990,10.968705177307100,10.968705177307100,4.736939430236820,17763859.158937900,999.4860404987110,999.4856894693010,17773.0,0.005935403307583970,3.52290124236787E-05,999.4856894869250,999.6932642796500,999.6932642796500,999.4531604698470,17462799.077558500,982.5491262680640,982.5465074865530,17773.0,0.008388115092400590,7.03604748033585E-05,982.5465075223580,982.5833793500200,982.5833793500200,982.5194353617070,22368747665.0,1258643.0,1258580.2996117700,17773.0,5321.273275143290,28315949.26875410,1258591.5487242600,1267755.0,1267755.0,1249448.0,8319056.0,468.07269453665700,17773.0,1303.1175482341400,1698115.3445157600,1384.632583715470,4096.0,4096.0,0
TIC 387603144,2031333.4555520300,1723.7932746830300,1724.391727972860,1178.0,7.698892528131990,59.27294615972660,1724.408914511690,1737.3872571381800,1737.3872571381800,1711.4075950075000,6081733.29296875,5163.069580078130,5162.761708802000,1178.0,4.2129857826989100,17.749249205223200,5162.76342777018,5172.9296875,5172.9296875,5147.62451171875,3160.161716222760,2.646954298019410,2.6826500137714500,1178.0,0.11330514038570700,0.01283805483782480,2.68504174105837,2.96832275390625,2.96832275390625,2.540862798690800,91649.48901958920,77.80082607527590,77.80092446484650,1178.0,0.00535365855885698,2.86616599648226E-05,77.80092464904520,77.81343498208280,77.81343498208280,77.7869541948158,1448711.6958769600,1229.8068679004500,1229.806193443940,1178.0,0.00829137363919228,6.87468768246926E-05,1229.806193471890,1229.8225998293600,1229.8225998293600,1229.785971327100,28097922.0,23823.5,23852.225806451600,1178.0,369.53976553999100,136559.63831535100,23855.08825303880,24476.0,24476.0,23229.0,7696384.0,6533.432937181660,1178.0,12942.707834765400,167513686.09609700,14498.256172407300,32768.0,32768.0,0
TIC 366989877,32431204.315453900,1668.6392767924900,1668.186014888840,19441.0,8.369619635805090,70.05053284805420,1668.2070107764000,1682.3615621840000,1682.3615621840000,1653.925038440540,1246224453.296880,64117.28125,64102.89868303460,19441.0,83.36101294017320,6949.0584784117200,64102.95288538490,67956.65625,67956.65625,63649.5703125,538138.860666275,27.6209659576416,27.680616257716900,19441.0,0.19878638194548100,0.039516025646974800,27.68133003366400,28.462139129638700,28.462139129638700,27.44709014892580,11677789.216566000,600.6788161245810,600.6784227439940,19441.0,0.009148002133083960,8.36859430269086E-05,600.6784228136540,600.7148810213300,600.7148810213300,600.6264163290360,13100641.289080400,673.8559284632850,673.8666369569700,19441.0,0.03658057252091170,0.0013381382859576800,673.8666379498500,673.9541998530980,673.9541998530980,673.7881004845750,6169070511.0,317649.0,317322.694871663,19441.0,6026.038401368830,36313138.81477180,317379.90771223900,327529.0,327529.0,307055.0,18155040.0,933.8531968520140,19441.0,2603.431359678330,6777854.844556550,2765.8518828432000,8704.0,8704.0,1
TIC 159334269,49789168.26935580,2621.291005929350,2622.0005408055100,18989.0,8.30308345746747,68.94119490166990,2622.013687450790,2635.9865950193300,2635.9865950193300,2607.9369782433900,12501966.565612800,654.5789794921880,658.379407320701,18989.0,15.037527794772600,226.12724217855800,658.5511151202590,751.8900146484380,751.8900146484380,636.2267456054690,87036.80297493940,3.946943759918210,4.583537994361970,18989.0,1.507363086291650,2.2721434739146800,4.825035131444580,10.442543029785200,10.442543029785200,3.9144227504730200,26000494.380550800,1369.242737566910,1369.2397904339800,18989.0,0.014829116625443500,0.00021990269989100500,1369.2397905142800,1369.2765774559600,1369.2765774559600,1369.1523936130300,7196649.070782730,379.0022696998140,378.99041923127800,18989.0,0.03331336788433430,0.0011097804797970000,378.9904206954050,379.043961026969,379.043961026969,378.920954162811,19066321035.0,1003561.0,1004071.8855653300,18989.0,5978.302064050560,35740095.5690312,1004089.6829856800,1014142.0,1014142.0,993946.0,13864960.0,730.1574595818630,18989.0,1567.6718529922900,2457595.0386642700,1729.3712598650700,4096.0,4096.0,0
TIC 420814525,334141280.76786800,2839.311774212040,2839.2128404584000,117688.0,8.09437278757398,65.51887082421810,2839.2243786454600,2853.1438603658200,2853.1438603658200,2825.2620507726900,25232993341.953100,214495.9375,214405.8301777000,117688.0,571.3444853830790,326434.52097765600,214406.59143018300,219190.078125,219190.078125,210679.59375,12740133.13961030,108.16013717651400,108.25345948278700,117688.0,0.4241146116049100,0.1798732037767840,108.2542902761610,136.2005157470700,136.2005157470700,107.14517974853500,219733521.02826200,1867.083103773830,1867.0851830965100,117688.0,0.03387634628414040,0.001147606837563000,1867.0851834038400,1867.1825172649900,1867.1825172649900,1866.977320751780,42084374.82784540,357.6005307533820,357.5927437618570,117688.0,0.02719478815321380,0.0007395565026981750,357.5927447959330,357.68561007440500,357.68561007440500,357.45656538257600,819435219990.0,6963203.5,6962776.323754330,117688.0,34968.44381430350,1222792062.7941000,6962864.132431190,7022960.0,7022960.0,6902508.0,2352192.0,19.986676636530500,117688.0,139.14717703350400,19361.936876393200,140.57526140600400,1600.0,1600.0,1
TIC 401604346,34375140.481660200,2047.950356766600,2048.456020598310,16781.0,7.185210838437680,51.62725479280230,2048.4686220638700,2060.644638644370,2060.644638644370,2036.2823078423600,68005586.48901370,4052.932861328130,4052.534800608650,16781.0,11.123727862553200,123.73732156014200,4052.5500672373800,4124.0849609375,4124.0849609375,3990.788330078130,150514.54734039300,8.711488723754880,8.969343146439010,16781.0,0.8056196092134450,0.6490229547492250,9.005450540274020,11.188152313232400,11.188152313232400,8.1060209274292,25480704.493468400,1518.4261373914300,1518.4258681525800,16781.0,0.006727070006942330,4.5253470878303E-05,1518.4258681674800,1518.4588001220300,1518.4588001220300,1518.4006228395200,4648470.1732389400,277.0101830835830,277.00793595369400,16781.0,0.013375927111808300,0.00017891542610040900,277.00793627663700,277.0447524549670,277.0447524549670,276.97995938812700,9919552849.0,590754.0,591118.1007687270,16781.0,5173.387746584360,26763940.77650920,591140.7387392640,599894.0,599894.0,582353.0,27451392.0,1635.861510041120,16781.0,5643.595479891880,31850169.940656100,5875.901022029730,32768.0,32768.0,1
TIC 169187982,49812237.44728850,2783.5397378829800,2782.962034040360,17899.0,7.7370572745691100,59.8620552699628,2782.972789116950,2796.1314723365800,2796.1314723365800,2769.9020133971400,17280280.723327600,964.6871337890620,965.4327461493740,17899.0,17.61120969137660,310.1547067936360,965.5933626761910,2780.508544921880,2780.508544921880,930.6556396484380,100676.09774303400,5.695010662078860,5.624677230182380,17899.0,0.2586870967606350,0.06691901403044590,5.630622785959160,6.058123588562010,6.058123588562010,5.041101932525640,21298049.88822780,1189.9017063811900,1189.9016642397800,17899.0,0.004395484904034890,1.93202875415986E-05,1189.901664247900,1189.9183969099900,1189.9183969099900,1189.8580810649700,15847592.516501600,885.3897375357330,885.3898271692060,17899.0,0.005872925548827690,3.4491254502073E-05,885.3898271886840,885.4119146512570,885.4119146512570,885.244001440254,20046219199.0,1120379.0,1119963.081680540,17899.0,5570.618810537960,31031793.9323193,1119976.9355309500,1129445.0,1129445.0,1110560.0,16.0,0.0008939046874127050,17899.0,0.11958961465366900,0.014301675933013100,0.11959295547231600,16.0,16.0,0
TIC 289316336,47703882.90864210,2756.951232125640,2756.4938696776900,17306.0,7.346590333267070,53.97238952485310,2756.5036597037600,2768.981117608970,2768.981117608970,2743.999000794740,73726614.0756836,4260.183349609380,4260.176474961490,17306.0,19.48410681857700,379.63041851771700,4260.22103044359,6457.76806640625,6457.76806640625,4221.65576171875,145958.3938794140,8.505857467651370,8.433976301826740,17306.0,0.4009615965096150,0.1607702018755390,8.44350202591618,9.236410140991210,9.236410140991210,7.7620673179626500,12392511.242974200,716.0792766920220,716.081777590094,17306.0,0.008599618388286720,7.3953436424159E-05,716.0817776417320,716.1167130326890,716.1167130326890,716.0655306391790,6605297.137495790,381.6677265221640,381.67670966692400,17306.0,0.02775177063963280,0.0007701607736347860,381.67671067584200,381.728075570949,381.728075570949,381.6114484378730,19052283084.0,1101235.5,1100906.2223506300,17306.0,5289.50821045062,27978897.108424500,1100918.9294891100,1109897.0,1109897.0,1091910.0,10190864.0,588.8630532763200,17306.0,4353.053474732350,18949074.55387940,4392.702385706690,32768.0,32768.0,0
TIC 149603524,24472949.579340600,1338.144244827150,1338.8560413228600,18279.0,8.162967848801820,66.63404410057220,1338.8809257849700,1353.1762521998200,1353.1762521998200,1325.29557805538,360060153.0703130,19705.77734375,19698.022488665300,18279.0,49.54513820469530,2454.720719722360,19698.0847973777,19971.06640625,19971.06640625,19279.77734375,291675.43497371700,15.983224868774400,15.95685950947630,18279.0,0.14539163999039300,0.02113872897909590,15.95752186694860,16.372140884399400,16.372140884399400,15.670432090759300,8160192.632593070,446.4246116011080,446.4244560748980,18279.0,0.006507640665716220,4.23493870340834E-05,446.4244561223300,446.466140578083,446.466140578083,446.2703081115920,35882440.90557820,1963.0419627841400,1963.0417914316000,18279.0,0.027470374798038500,0.000754621491544708,1963.0417916238100,1963.1056077598000,1963.1056077598000,1962.9515521242400,1466130977.0,79696.0,80208.48935937410,18279.0,5877.311667914250,34542792.441801,80423.5323630754,90519.0,90519.0,70445.0,512.0,0.02801028502653320,18279.0,3.7868828021893800,14.340481357517700,3.7869863920517300,512.0,512.0,1
TIC 115446313,35869885.61552310,1969.511379281760,1969.0336287820800,18217.0,7.795064483717060,60.763030305307200,1969.049058379450,1982.2822914166300,1982.2822914166300,1955.797300060140,303246826.9628910,16649.794921875,16646.36476713460,18217.0,26.436824239813600,698.9056758867940,16646.38575986320,16730.568359375,16730.568359375,16474.892578125,290973.65896987900,15.900554656982400,15.972644176861100,18217.0,0.23905506900865800,0.05714732601873420,15.974432989206000,16.712162017822300,16.712162017822300,15.59494400024410,18128003.42412330,995.1139617194630,995.1146414954900,18217.0,0.0057763007314576000,3.33656501402376E-05,995.1146415122550,995.1432175413340,995.1432175413340,995.0946243821430,27451181.255880300,1506.9000878815000,1506.899119277610,18217.0,0.01719501631421900,0.0002956685860462570,1506.8991193757200,1506.9718310793300,1506.9718310793300,1506.8387161909700,9726694643.0,534279.0,533935.0410605480,18217.0,5612.389086389900,31498911.25702840,533964.5371966060,543474.0,543474.0,524405.0,512.0,0.028105615633748700,18217.0,3.7933211410120800,14.38928527884920,3.793425260167830,512.0,512.0,0
TIC 174143743,20445579.07224750,1526.7535260369900,1528.98437572895,13372.0,7.9496432887049000,63.1968284176508,1529.0050418660100,1542.0024855114100,1542.0024855114100,1517.3501440312100,190627773.2158200,14283.6181640625,14255.741341296800,13372.0,702.8196766253940,493955.49785182300,14273.055618465500,39369.0,39369.0,11136.494140625,189407.40516471900,14.10342025756840,14.164478399993900,13372.0,0.5161012644904980,0.26636051520869100,14.17387769310510,21.341968536377000,21.341968536377000,12.81942081451420,24650010.477901500,1843.3399757997000,1843.4049115989700,13372.0,0.16391416931614300,0.026867854902601100,1843.404918886540,1844.3475100049500,1844.3475100049500,1843.2029240703200,10259932.343333500,767.2850072423640,767.2698432047200,13372.0,0.07706372688950770,0.005938818002100640,767.2698470748170,767.4806022160270,767.4806022160270,766.7940861736770,2903044617.0,215492.5,217098.759871373,13372.0,5723.846684039950,32762420.862395100,217174.2018715630,226472.0,226472.0,208722.0,1458832.0,109.09602153754100,13372.0,659.3740956988660,434774.19807869800,668.3383424538930,4096.0,4096.0,0
TIC 229141709,37672677.782703000,2100.7833281964300,2101.214668007310,17929.0,7.655938137635110,58.613388767295700,2101.228615462350,2114.436112715650,2114.436112715650,2088.2428960108300,47264632.23779300,2639.433837890630,2636.211291081100,17929.0,22.455106160807000,504.2317926931110,2636.3069250404300,2767.516845703130,2767.516845703130,2394.464599609380,124067.86725235000,6.5885910987854,6.9199546685453700,17929.0,0.8130199432498270,0.6610014281219530,6.967551509880980,10.632732391357400,10.632732391357400,6.373239994049070,24740233.50854570,1379.9002093018500,1379.9003574402200,17929.0,0.004875070318679560,2.37663106120705E-05,1379.9003574488300,1379.957970480990,1379.957970480990,1379.8823750644700,6485128.203926610,361.71063474514500,361.7116517333150,17929.0,0.01322021887644410,0.00017477418714108800,361.71165197490900,361.7691653185610,361.7691653185610,361.6726931073320,11279215991.0,628794.0,629104.5786714260,17929.0,5512.240725372080,30384797.81445060,629128.7274502470,638624.0,638624.0,619765.0,10637824.0,593.3305817390820,17929.0,1441.5750188523700,2078138.5349792000,1558.9033691047200,4096.0,4096.0,0
