# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Mar 30 01:36:55 2025
#
# User preference: *
#
# CONSTRAINT:  where (tfopwg_disp not like '%PC%'
# CONSTRAINT:  and st_teffstr between 3900 and 7300
# CONSTRAINT:  and st_radstr between 0.7 and 1.4)
#
# COLUMN tid:            TESS Input Catalog ID
# COLUMN tfopwg_disp:    TFOPWG Dispostion (CP | FP | KP | PC)
# COLUMN st_dist:        Stellar Distance [pc]
# COLUMN st_teff:        Stellar Effective Temperature Value [K]
# COLUMN st_rad:         Stellar Radius Value [R_Sun]
# COLUMN toi_created:    TOI Created Date
#
tid,tfopwg_disp,st_dist,st_teff,st_rad,toi_created
198108326,KP,142.7510000,4652.8700000,0.7000000,2020-05-07 18:04:46
327577308,FP,78.9495000,4475.0000000,0.7000000,2020-06-19 07:20:04
436575927,KP,98.0152000,4197.0000000,0.7000000,2024-04-25 22:44:01
62483237,CP,42.4061000,4356.0000000,0.7007270,2018-09-05 18:51:57
251848941,CP,62.6990000,4111.0000000,0.7012020,2018-11-03 00:53:39
75262942,KP,305.3000000,4051.0000000,0.7013690,2021-10-07 00:18:57
381856447,KP,91.2990000,4683.0000000,0.7017950,2020-09-18 16:26:02
388811663,KP,109.2180000,4147.0000000,0.7066320,2022-02-08 21:10:13
59003115,FP,146.9050000,5062.0000000,0.7074450,2019-04-03 17:54:53
14570099,KP,105.5800000,4678.0000000,0.7099270,2022-05-17 20:08:56
198390247,CP,78.7415000,4920.0000000,0.7100000,2019-11-14 17:11:15
198390247,CP,78.7415000,4920.0000000,0.7100000,2020-02-21 21:35:16
233541860,FP,44.3531000,4154.0000000,0.7100000,2019-12-05 21:41:09
279741379,CP,16.3200000,4628.5300000,0.7100000,2018-12-04 21:48:30
279741379,CP,16.3200000,4628.5300000,0.7100000,2020-07-09 13:30:18
230386397,FP,95.3985000,4316.0000000,0.7100000,2020-07-15 20:44:32
98494121,FP,123.7960000,5285.0000000,0.7100000,2020-09-18 21:10:23
418761354,KP,115.4610000,4542.0000000,0.7100000,2021-10-21 22:57:22
29374525,FP,151.8940000,4689.0000000,0.7100000,2022-04-20 18:22:48
166833457,KP,281.7420000,5473.0000000,0.7186350,2019-02-08 20:04:48
301235044,KP,61.8736000,4477.0000000,0.7200000,2023-12-07 19:23:07
458589703,FA,114.7650000,4654.2000000,0.7200000,2019-05-02 15:06:42
150151262,CP,58.6212000,4504.0000000,0.7200000,2019-05-20 19:32:04
150151262,CP,58.6212000,4504.0000000,0.7200000,2019-05-24 15:31:12
150151262,CP,58.6212000,4504.0000000,0.7200000,2021-07-08 23:15:53
337129672,FP,75.3511000,4358.0000000,0.7224500,2021-11-19 01:05:03
31374837,CP,32.5686000,4891.0000000,0.7266320,2019-02-08 16:19:52
31374837,CP,32.5686000,4891.0000000,0.7266320,2019-06-06 20:53:59
10837041,CP,59.5362000,4099.0000000,0.7276420,2020-11-24 20:55:50
193641523,CP,63.9262000,4452.0000000,0.7296350,2019-06-17 17:15:52
425561347,CP,70.9015000,4882.7000000,0.7298180,2020-09-18 19:18:08
405862830,FP,97.8115000,5034.0000000,0.7300000,2019-08-22 14:42:11
429302040,KP,64.7414000,4233.2000000,0.7300000,2020-05-29 17:45:53
29959761,FP,178.9990000,5027.0000000,0.7300000,2020-10-23 19:58:26
271167979,FP,287.2440000,4769.0000000,0.7300000,2021-06-23 15:11:41
1101909431,FP,222.9500000,4742.0000000,0.7300000,2021-06-23 15:24:11
307956396,FP,268.5080000,4460.0000000,0.7300000,2021-06-23 15:26:02
167754523,FP,53.3027000,4913.8000000,0.7300000,2019-01-16 19:24:29
418971787,FP,282.4690000,4963.0000000,0.7300000,2021-12-21 22:31:51
399954349,KP,153.6760000,4837.0000000,0.7311460,2021-11-01 23:15:50
399954349,KP,153.6760000,4837.0000000,0.7311460,2023-03-23 19:50:43
318753380,CP,23.9258000,4214.4400000,0.7321150,2021-01-06 21:28:53
407126408,CP,65.1769000,4948.0000000,0.7325350,2019-07-15 19:20:13
318209162,FP,85.5353000,4661.5600000,0.7326480,2022-09-01 23:33:03
123357864,KP,107.7960000,4816.0000000,0.7329950,2022-12-01 23:01:00
374180079,KP,77.5586000,4362.0000000,0.7337890,2022-04-20 20:43:54
374180079,KP,77.5586000,4362.0000000,0.7337890,2022-04-20 20:43:53
332022997,KP,123.4380000,4783.6000000,0.7353450,2022-02-08 22:06:13
332022997,KP,123.4380000,4783.6000000,0.7353450,2022-01-25 22:18:25
79748331,CP,68.0726000,4803.0000000,0.7371890,2019-08-16 20:20:42
79748331,CP,68.0726000,4803.0000000,0.7371890,2019-08-16 20:20:42
