Star_ID,Stellar Distance (parsecs),Stellar Effective Temperature (Kelvin),Stellar Effective Radius (solar radii),TESS Object of Interest Registered,Exoplanet_Actual
TIC 198108326,142.7510000,4652.8700000,0.7000000,2020-05-07 18:04:46,1
TIC 327577308,78.9495000,4475.0000000,0.7000000,2020-06-19 07:20:04,0
TIC 436575927,98.0152000,4197.0000000,0.7000000,2024-04-25 22:44:01,1
TIC 62483237,42.4061000,4356.0000000,0.7007270,2018-09-05 18:51:57,1
TIC 251848941,62.6990000,4111.0000000,0.7012020,2018-11-03 00:53:39,1
TIC 75262942,305.3000000,4051.0000000,0.7013690,2021-10-07 00:18:57,1
TIC 381856447,91.2990000,4683.0000000,0.7017950,2020-09-18 16:26:02,1
TIC 388811663,109.2180000,4147.0000000,0.7066320,2022-02-08 21:10:13,1
TIC 59003115,146.9050000,5062.0000000,0.7074450,2019-04-03 17:54:53,0
TIC 14570099,105.5800000,4678.0000000,0.7099270,2022-05-17 20:08:56,1
TIC 198390247,78.7415000,4920.0000000,0.7100000,2019-11-14 17:11:15,1
TIC 198390247,78.7415000,4920.0000000,0.7100000,2020-02-21 21:35:16,1
TIC 233541860,44.3531000,4154.0000000,0.7100000,2019-12-05 21:41:09,0
TIC 279741379,16.3200000,4628.5300000,0.7100000,2018-12-04 21:48:30,1
TIC 279741379,16.3200000,4628.5300000,0.7100000,2020-07-09 13:30:18,1
TIC 230386397,95.3985000,4316.0000000,0.7100000,2020-07-15 20:44:32,0
TIC 98494121,123.7960000,5285.0000000,0.7100000,2020-09-18 21:10:23,0
TIC 418761354,115.4610000,4542.0000000,0.7100000,2021-10-21 22:57:22,1
TIC 29374525,151.8940000,4689.0000000,0.7100000,2022-04-20 18:22:48,0
TIC 166833457,281.7420000,5473.0000000,0.7186350,2019-02-08 20:04:48,1
TIC 301235044,61.8736000,4477.0000000,0.7200000,2023-12-07 19:23:07,1
TIC 458589703,114.7650000,4654.2000000,0.7200000,2019-05-02 15:06:42,0
TIC 150151262,58.6212000,4504.0000000,0.7200000,2019-05-20 19:32:04,1
TIC 150151262,58.6212000,4504.0000000,0.7200000,2019-05-24 15:31:12,1
TIC 150151262,58.6212000,4504.0000000,0.7200000,2021-07-08 23:15:53,1
TIC 337129672,75.3511000,4358.0000000,0.7224500,2021-11-19 01:05:03,0
TIC 31374837,32.5686000,4891.0000000,0.7266320,2019-02-08 16:19:52,1
TIC 31374837,32.5686000,4891.0000000,0.7266320,2019-06-06 20:53:59,1
TIC 10837041,59.5362000,4099.0000000,0.7276420,2020-11-24 20:55:50,1
TIC 193641523,63.9262000,4452.0000000,0.7296350,2019-06-17 17:15:52,1
TIC 425561347,70.9015000,4882.7000000,0.7298180,2020-09-18 19:18:08,1
TIC 405862830,97.8115000,5034.0000000,0.7300000,2019-08-22 14:42:11,0
TIC 429302040,64.7414000,4233.2000000,0.7300000,2020-05-29 17:45:53,1
TIC 29959761,178.9990000,5027.0000000,0.7300000,2020-10-23 19:58:26,0
TIC 271167979,287.2440000,4769.0000000,0.7300000,2021-06-23 15:11:41,0
TIC 1101909431,222.9500000,4742.0000000,0.7300000,2021-06-23 15:24:11,0
TIC 307956396,268.5080000,4460.0000000,0.7300000,2021-06-23 15:26:02,0
TIC 167754523,53.3027000,4913.8000000,0.7300000,2019-01-16 19:24:29,0
TIC 418971787,282.4690000,4963.0000000,0.7300000,2021-12-21 22:31:51,0
TIC 399954349,153.6760000,4837.0000000,0.7311460,2021-11-01 23:15:50,1
TIC 399954349,153.6760000,4837.0000000,0.7311460,2023-03-23 19:50:43,1
TIC 318753380,23.9258000,4214.4400000,0.7321150,2021-01-06 21:28:53,1
TIC 407126408,65.1769000,4948.0000000,0.7325350,2019-07-15 19:20:13,1
TIC 318209162,85.5353000,4661.5600000,0.7326480,2022-09-01 23:33:03,0
TIC 123357864,107.7960000,4816.0000000,0.7329950,2022-12-01 23:01:00,1
TIC 374180079,77.5586000,4362.0000000,0.7337890,2022-04-20 20:43:54,1
TIC 374180079,77.5586000,4362.0000000,0.7337890,2022-04-20 20:43:53,1
TIC 332022997,123.4380000,4783.6000000,0.7353450,2022-02-08 22:06:13,1
TIC 332022997,123.4380000,4783.6000000,0.7353450,2022-01-25 22:18:25,1
TIC 79748331,68.0726000,4803.0000000,0.7371890,2019-08-16 20:20:42,1
TIC 79748331,68.0726000,4803.0000000,0.7371890,2019-08-16 20:20:42,1
TIC 123309556,191.9040000,4715.0000000,0.7395150,2022-12-01 23:01:00,1
TIC 254113311,58.2609000,4236.0000000,0.7400000,2019-08-22 14:42:11,1
TIC 180695581,42.5775000,4612.9900000,0.7400000,2020-04-15 12:38:54,1
TIC 437704321,159.5220000,4279.0000000,0.7400000,2021-10-21 22:57:22,1
TIC 268371979,6862.3900000,4538.0000000,0.7400000,2019-07-24 15:58:33,0
TIC 21744120,161.4000000,4790.0000000,0.7401130,2020-07-29 05:13:34,1
TIC 209752908,565.5410000,4355.0000000,0.7407120,2021-10-07 00:18:59,1
TIC 254113311,58.2609000,4236.0000000,0.7419210,2019-09-03 17:42:04,1
TIC 4646810,45.5621000,4884.0000000,0.7441300,2019-02-08 19:54:07,1
TIC 366622912,442.8130000,4973.0000000,0.7495600,2019-03-22 22:54:00,1
TIC 283722336,6.5312700,4884.2900000,0.7500000,2019-12-05 16:42:06,1
TIC 332660287,246.5680000,4967.0000000,0.7500000,2021-06-03 21:39:02,0
TIC 305512837,234.7210000,4653.0000000,0.7500000,2021-06-04 14:05:42,0
TIC 238162973,282.5940000,4427.0000000,0.7500000,2021-06-16 22:56:33,0
TIC 284747017,145.7590000,4570.0000000,0.7500000,2021-06-23 15:18:29,0
TIC 114103136,695.7800000,3901.0000000,0.7500000,2021-07-12 14:39:21,0
TIC 117979694,103.6900000,5059.0000000,0.7500000,2019-02-08 16:19:52,0
TIC 610976842,232.8010000,4492.0000000,0.7500000,2021-10-21 22:57:24,1
TIC 71401634,320.9010000,4886.0000000,0.7500000,2021-12-21 00:33:11,0
TIC 241102583,271.3460000,5362.8000000,0.7500000,2022-02-28 23:25:42,0
TIC 368739874,306.7790000,5013.0000000,0.7500000,2022-07-14 20:57:21,1
TIC 161687209,196.5930000,4220.0000000,0.7500000,2024-10-24 17:30:22,0
TIC 431701493,140.9980000,4713.9800000,0.7503410,2022-11-16 01:06:43,1
TIC 283722336,6.5312700,4884.2900000,0.7505980,2019-12-05 16:42:06,1
TIC 134200185,47.3924000,4590.0000000,0.7518250,2019-03-08 14:44:08,1
TIC 176868951,152.5090000,5129.0000000,0.7557220,2022-04-20 21:11:33,1
TIC 148673433,89.6370000,4590.0000000,0.7575210,2022-08-18 20:03:38,1
TIC 36734222,86.7467000,4400.0000000,0.7576490,2019-05-07 15:39:33,1
TIC 91051152,115.9360000,4302.0000000,0.7586080,2022-11-16 01:06:43,1
TIC 243014114,99.9293000,4246.8000000,0.7588920,2021-10-21 22:56:06,1
