Star_ID,Stellar Effective Temperature (Kelvin),Stellar Effective Radius (solar radii),Exoplanet_Actual
TIC 139118482,6179.1,1.15,0
TIC 80029842,6536,1.15,0
TIC 108939482,6325,1.15885,0
TIC 124379043,6384,1.16,1
TIC 387603144,6223,1.16,0
TIC 135083444,6071,1.16271,0
TIC 366989877,6122,1.17,1
TIC 353586703,6405,1.17,0
TIC 159334269,6409,1.18,0
TIC 420814525,6052,1.19,1
TIC 401604346,6079,1.19653,1
TIC 169187982,6479,1.2,0
TIC 289316336,6171,1.2,0
TIC 38686737,6846,1.2,0
TIC 149603524,6280,1.21,1
TIC 20182165,6327.16,1.21,0
TIC 115446313,6109,1.21,0
TIC 174143743,6629,1.21,0
TIC 229141709,6316.3,1.21,0
TIC 178367144,6316,1.21069,1
TIC 143994283,6022.6,1.22,0
TIC 403287048,6347,1.22,0
TIC 448589187,6229,1.22,1
TIC 87597187,6247.6,1.22,0
TIC 406443564,6611,1.22,0
TIC 307733361,6115.5,1.22,1
TIC 367099243,6046.3,1.23,0
TIC 170103435,6317,1.23,0
TIC 441334829,7664,1.23,0
TIC 32408928,6259,1.23,0
TIC 120317234,6133.77,1.23,1
TIC 250707118,6086,1.23052,1
TIC 4616072,6675,1.23733,1
TIC 288185138,6105,1.24,0
TIC 376637093,6485,1.24,1
TIC 22843856,6019,1.24,0
TIC 27064468,6223,1.24,1
TIC 27064468,6223,1.24,1
TIC 191284318,6140,1.24182,1
TIC 468574941,6081,1.2431901,1
TIC 301051430,6049,1.2460999,0
TIC 309436531,6189.4,1.25,0
TIC 1965256662,6017,1.25,0
TIC 257567854,6153,1.25,1
TIC 141488193,6433,1.25,1
TIC 157528286,6044,1.25,0
TIC 408310006,6313,1.25,1
TIC 162689341,6046.76,1.2561899,1
TIC 61980227,6764,1.25844,0
TIC 364075352,6641,1.26,0
TIC 178162579,6019,1.26,1
TIC 292152376,6340,1.2630399,1
TIC 98283926,6208,1.26526,1
TIC 120585579,6083,1.2666,0
TIC 141631253,7051,1.2684,0
TIC 437248515,6302,1.26867,1
TIC 30329585,6229,1.27,0
TIC 231736113,6519,1.27,1
TIC 199376584,6125,1.27,1
TIC 461387302,6406,1.27,0
TIC 287080092,6114,1.27,1
TIC 162802770,6309,1.27132,1
TIC 16288184,6599,1.2714601,1
TIC 234112540,6100,1.27299,1
TIC 166739520,6038,1.27527,1
TIC 335996558,6168,1.28,0
TIC 419946164,6394,1.28,0
TIC 178155732,6308.31,1.28,1
TIC 36592530,6089,1.28,1
TIC 48103627,6122,1.28306,1
TIC 32487566,6034,1.28427,1
TIC 178155732,6308.31,1.2845,1
TIC 178155732,6308.31,1.2845,1
TIC 61117473,6504,1.29,0
TIC 176984236,6249,1.29,0
TIC 273774284,6330,1.29,0
TIC 280206394,6446,1.29,1
TIC 371234684,6193,1.3,1
TIC 162246865,6237,1.3,0
TIC 341186896,6635,1.3,0
TIC 123106490,6408,1.30784,0
TIC 366443426,6352.33,1.30883,1
TIC 184679932,6198,1.30937,0
TIC 441739020,6453,1.31,1
TIC 441739020,6453,1.31,1
TIC 366443426,6352.33,1.31,1
TIC 95010343,6474,1.31,0
TIC 87044036,6070,1.31,0
TIC 446616059,6030,1.31,0
TIC 364107753,6059.06,1.31,0
TIC 336267424,6835.31,1.31284,0
TIC 356919658,6404,1.32,0
TIC 229791084,6023,1.32,1
TIC 133505138,6529,1.32,0
TIC 137543637,8055,1.32,0
TIC 341297143,6247,1.32,0
TIC 452483795,7143,1.32,0
TIC 129107501,6364,1.32,0
TIC 148523092,6383,1.32,0
TIC 449197831,6092,1.32975,1
TIC 268042363,6888,1.33,0
TIC 71134735,6666.8,1.33,0
TIC 206466531,6000.2,1.33,0
TIC 347430350,6458,1.33,1
TIC 350618622,6461.8,1.33031,1
TIC 95129101,6621.9,1.34,0
TIC 357416482,6362.6,1.34,0
TIC 190081497,6187,1.34,0
TIC 455135327,6304,1.34004,1
TIC 404340025,6783,1.3441499,1
TIC 245509452,6088,1.34548,1
TIC 47911178,6400,1.34556,1
TIC 100100827,6400,1.35,1
TIC 339522221,6155,1.35,1
TIC 160578764,6017,1.35,1
TIC 416539317,6269,1.35,0
TIC 460396820,6090,1.35,1
TIC 345333936,6033,1.35,0
TIC 66561343,7723,1.35,1
TIC 117979897,6030,1.3514301,1
TIC 455096220,6096,1.35672,1
TIC 27848472,6352,1.36,1
TIC 76505260,6038,1.36,0
TIC 243244680,6128,1.36,1
TIC 164892194,6041,1.36388,1
TIC 137685450,6181.58,1.36797,1
TIC 229536616,6292,1.37,0
TIC 357972447,7387,1.37,0
TIC 179033846,6712,1.37,0
TIC 102283403,6627,1.37,0
TIC 172464366,6332,1.37266,0
TIC 304774444,6317,1.38,0
TIC 66783360,6483,1.38,0
TIC 176685457,6245,1.38,1
TIC 271900960,6457.7,1.38,0
TIC 124029677,6408,1.38,1
TIC 26583436,6291.9,1.38,0
TIC 281408474,6174,1.38,1
TIC 428787891,6243,1.38719,1
TIC 9725627,6362.5,1.38831,1
TIC 313506357,6023.1,1.39,0
TIC 394029948,6073,1.39,0
TIC 356868487,6327,1.39013,0
TIC 104866616,7587,1.3951401,1
TIC 349488688,6329,1.39619,1
TIC 349488688,6329,1.39619,1
TIC 336732616,6351,1.4,1
TIC 343648136,6093,1.4,0
TIC 229742722,6415,1.4,1
TIC 178217113,6135.5,1.4,1
TIC 366602797,6332,1.4,0
TIC 271424111,6007.22,1.40537,1
TIC 83092282,7056,1.4072,1
TIC 47384844,6084,1.41,0
TIC 389238529,7000,1.41,0
TIC 29781292,6321,1.41,0
TIC 156816238,6046,1.41,0
TIC 29781292,6321,1.41189,1
TIC 29781292,6321,1.41189,1
TIC 29781292,6321,1.41189,1
TIC 236445129,6430,1.41398,1
TIC 53189332,6055,1.41549,1
TIC 440777904,6373,1.41886,1
TIC 138168780,6724,1.42,1
TIC 16187321,6702,1.42,0
TIC 35857242,6272,1.42,1
TIC 262781201,6613.8,1.42,0
TIC 239136269,9332,1.42848,0
TIC 273231214,6184,1.42864,1
TIC 273231214,6184,1.42864,1
TIC 259126549,6149.2,1.43,0
TIC 470852531,6587,1.43,0
TIC 272212970,6393,1.43,1
TIC 164458714,6304,1.43,1
TIC 188876052,6401.79,1.4311,1
TIC 13021029,6244.5,1.43256,1
TIC 272625214,6651,1.44,0
TIC 172754786,7795,1.44,0
TIC 28873762,6241,1.44,0
TIC 316916655,6805,1.44,0
TIC 457138169,6273,1.4487799,0
TIC 300871545,6380,1.44956,0
TIC 190743990,6026,1.45,0
TIC 350743714,6038,1.45,0
TIC 113919944,6186.6,1.45,0
TIC 285233023,6240,1.45,0
TIC 428065977,6928,1.46,0
TIC 102192004,6333.7,1.46,1
TIC 255930614,6084,1.46,1
TIC 432549364,6596.04,1.46216,1
TIC 320798691,6115,1.46701,1
TIC 341815767,6610,1.47,0
TIC 389352124,6562,1.47,1
TIC 417646390,6244,1.47,1
TIC 366484980,6266.98,1.47,1
TIC 17150865,6121,1.47,0
TIC 123482865,6845,1.47,1
TIC 84339983,6635.91,1.4707,1
TIC 69747919,6073.5,1.47131,1
TIC 9727392,6421.5,1.47459,0
TIC 73723286,6157,1.47641,0
TIC 53735810,6580,1.47741,1
TIC 120960812,6212,1.47768,1
TIC 411608801,6434,1.4782799,1
TIC 394050135,6042,1.47996,1
TIC 120960812,6212,1.48,1
TIC 240148934,6582,1.48,0
TIC 453464017,6190.4,1.48,0
TIC 80478272,6360.4,1.48,0
TIC 443658196,8933,1.48,0
TIC 203214138,6283.4,1.48,1
TIC 334597566,6511,1.48,0
TIC 111991770,6300,1.48,1
TIC 127476180,6711,1.48,0
TIC 170634116,6600,1.48532,1
TIC 138644215,6136.25,1.4874001,1
TIC 101395259,6422,1.4885499,0
TIC 364186197,6594,1.49,1
TIC 364186197,6594,1.49,1
TIC 191146556,6116.5,1.49,0
TIC 68152139,6001,1.49,0
TIC 75656058,6528,1.49,0
TIC 7548817,6050,1.49,1
TIC 138497780,6305,1.4902101,0
TIC 169461816,6779.2,1.49114,1
TIC 326114850,6194,1.5,0
TIC 412257781,6550,1.5,0
TIC 410245915,6173.3,1.5,0
TIC 317548889,6212.63,1.5000401,1
TIC 142090065,7072,1.50581,0
TIC 139104940,6052,1.50633,1
TIC 330687113,6315.7,1.50876,1
TIC 121731834,6149,1.5092,1
TIC 190442486,7465,1.51,0
TIC 317507345,7170,1.51,0
TIC 219151731,6137.7,1.51,0
TIC 319735319,6570,1.51,0
TIC 372505528,6827,1.51,0
TIC 366410512,6283,1.51,1
TIC 456305193,6040,1.51,0
TIC 245947683,6706,1.51,0
TIC 288246496,6001,1.51284,1
TIC 317520667,6848,1.51554,1
TIC 90448944,6902,1.52,0
TIC 105801221,6888,1.52,0
TIC 22529346,6459,1.52,1
TIC 131419878,6482.3,1.52,0
TIC 268644785,6003,1.52238,1
TIC 304042899,6746,1.5288,0
TIC 387413037,6745,1.53,0
TIC 385105624,6222.3,1.53,0
TIC 268403451,6082,1.53,1
TIC 37718056,6239,1.53,1
TIC 219766989,6095,1.53,0
TIC 230075120,6377,1.53,0
TIC 319783554,7567,1.53,0
TIC 156115721,6616,1.53429,0
TIC 175310067,7601,1.53641,0
TIC 319968129,6304,1.54,0
TIC 349827430,6403.9,1.55,1
TIC 269509393,6221,1.55,0
TIC 101721385,6727.6,1.55,1
TIC 260043723,6278,1.55,0
TIC 392112968,7108,1.55,0
TIC 90850770,6146,1.55738,1
TIC 164173105,7164,1.55831,1
TIC 73448352,6739,1.56,1
TIC 444523623,6806,1.56,0
TIC 57984377,6116,1.56419,1
TIC 291685334,6161,1.56523,1
TIC 15445551,6271,1.56803,1
TIC 440801822,6858.5,1.57,0
TIC 66818296,6650,1.57,1
TIC 278348461,6509,1.57,1
TIC 176899385,6893.4,1.57,1
TIC 92359850,6270,1.57,0
TIC 141985686,6236,1.57,0
TIC 160074939,6467,1.57943,0
TIC 431156009,6294,1.58,0
TIC 329145325,7274,1.58,0
TIC 272049972,6083,1.58,0
TIC 146244533,8072,1.58,0
TIC 268372005,6227,1.58,0
TIC 312221462,8158.9,1.58,0
TIC 382188882,6366,1.58083,0
TIC 123233041,6179,1.5817,1
TIC 233059608,6603,1.58365,0
TIC 110178537,6343,1.58601,1
TIC 267263253,6888,1.59,1
TIC 50712784,6410,1.59,1
TIC 185482513,6117,1.59,0
TIC 373576942,6245,1.59,0
TIC 277987172,6243,1.59,0
TIC 307734817,6351.66,1.59204,0
TIC 309402106,7053,1.59688,0
TIC 466840711,6933,1.59944,1
TIC 316402246,8014,1.6,0
TIC 155491828,6337.5,1.6,0
TIC 34466256,6699,1.6,0
TIC 386297468,6793,1.6,0
TIC 279605855,6184,1.6,0
TIC 245392284,8039,1.6008,1
TIC 129979528,7398.5,1.60242,1
TIC 400595342,9810,1.60776,0
TIC 182943944,6995.2,1.61,0
TIC 67666096,6518,1.61,1
TIC 278968371,6053,1.61,0
TIC 399956873,6817,1.61,0
TIC 80275202,7889,1.61,0
TIC 91987762,6303.91,1.61034,1
TIC 240681314,6695,1.61271,1
TIC 165297570,6317,1.61396,1
TIC 69679391,8894.8,1.62,1
TIC 258801269,6004,1.62,0
TIC 51234631,6304,1.62,1
TIC 207468071,6351,1.62,1
TIC 394722182,6209,1.62,1
TIC 379629854,6603,1.62,0
TIC 169532369,6896.7,1.62,0
TIC 229384040,6128,1.62,0
TIC 400786146,6123,1.6267,0
TIC 53750200,6405,1.6277601,1
TIC 425721385,6209,1.63,0
TIC 256414077,6516,1.63,0
TIC 404467699,6143,1.63,1
TIC 321668398,6310,1.63591,1
TIC 42821097,6090,1.6395,1
TIC 446549905,6610,1.64,0
TIC 143257766,7301,1.64,0
TIC 400395395,6947,1.64,0
TIC 436099179,6211,1.64,0
TIC 27534138,6197.21,1.64162,1
TIC 122220263,6277,1.65,0
TIC 358631536,9622,1.65,0
TIC 365683032,9224,1.65,0
TIC 405794804,8009,1.65,0
TIC 165987272,6266,1.65,1
TIC 400476523,6615,1.65,0
TIC 112099249,6116,1.65,1
TIC 422838133,6927,1.65,0
TIC 176831592,6497.8,1.65,0
TIC 350044062,6031.2,1.65,0
TIC 398895470,6479,1.65082,1
TIC 151959065,6114,1.65817,0
TIC 149539158,6422.3,1.65992,0
TIC 284564230,6610,1.66,0
TIC 69838258,6048.2,1.66,0
TIC 256349966,6544,1.66,0
TIC 463681005,6091,1.66057,0
TIC 9385460,6113,1.6616499,1
TIC 179317684,6671,1.6640199,1
TIC 312469860,6941,1.67,0
TIC 137500798,6653,1.67,0
TIC 239154970,6642.3,1.67,1
TIC 22020459,6561,1.67,0
TIC 292797572,7518,1.67,0
TIC 425206121,7346,1.67,1
TIC 117068362,7803,1.67,0
TIC 294283951,8096,1.67777,0
TIC 29336129,6361,1.6787,0
TIC 365690646,6962.64,1.67983,0
TIC 354600221,6329,1.68,0
TIC 186812530,7887,1.68,1
TIC 335630746,6780,1.68,1
TIC 284288080,6466,1.68,0
TIC 248111245,6438,1.68054,1
TIC 152476657,6450,1.68443,1
TIC 373424049,8688,1.68698,0
TIC 233390838,6477.6,1.69,0
TIC 468472950,6301.3,1.69,0
TIC 8400842,6673,1.69,1
